background, draw, blitScreen, flip,
0.033626558,0.000541519,0.002176857,0.002022357, 
0.041085154,0.000710905,0.002221513,0.002152219, 
0.031520535,0.000547166,0.013851091,0.003213186, 
0.036207886,0.000523554,0.002785104,0.002650109, 
0.058798741,0.000556918,0.003946162,0.002210734, 
0.018678569,0.000330558,0.001327364,0.001730296, 
0.019632773,0.000316699,0.00137356,0.002174803, 
0.035179256,0.000322345,0.001335063,0.00156091, 
0.017645833,0.000342877,0.001469545,0.001585035, 
0.019640472,0.000354682,0.001424376,0.001823714, 
0.018562053,0.000325425,0.002457625,0.002386792, 
0.01977906,0.000317212,0.001438748,0.001699498, 
0.031627812,0.00041987,0.001322745,0.001545512, 
0.017382003,0.000390613,0.001323771,0.001768279, 
0.017943027,0.000402418,0.001577849,0.001564503, 
0.01764224,0.000363408,0.001431048,0.0018386, 
0.01737995,0.000363922,0.001358675,0.001723623, 
0.016966239,0.000403445,0.001276549,0.001377666, 
0.017476961,0.000314646,0.001426429,0.002650622, 
0.017819838,0.000334664,0.001326338,0.001397171, 
0.017103287,0.000350576,0.001363294,0.001912513, 
0.01795124,0.000537926,0.00130016,0.001455686, 
0.017698702,0.00041987,0.001337117,0.001545512, 
0.014761665,0.000296681,0.001026577,0.001323258, 
0.011729669,0.000297194,0.001029143,0.002361127, 
0.011864151,0.000283335,0.001026577,0.001611726, 
0.013602659,0.000318752,0.000963443,0.001555264, 
0.011842593,0.000290521,0.001008099,0.001296567, 
0.011659862,0.000286928,0.000987054,0.002092164, 
0.023377213,0.001535759,0.001103057,0.001283735, 
0.011942171,0.000410631,0.000999373,0.001287841, 
0.012519107,0.000289495,0.001039923,0.0013751, 
0.01222294,0.000283335,0.000974222,0.001348409, 
0.012517567,0.000307973,0.00099116,0.001517794, 
0.02077484,0.000581556,0.000978841,0.001585035, 
0.012763946,0.000514315,0.001452607,0.001400251, 
0.012094618,0.00064469,0.000983461,0.0019043, 
0.01787014,0.000497377,0.001151819,0.002806148, 
0.011963729,0.000597468,0.000969602,0.001344816, 
0.017772615,0.000575396,0.000998346,0.001199042, 
0.01268028,0.000625699,0.000983461,0.001593761, 
0.012061254,0.000704745,0.001808315,0.001370994, 
0.011770732,0.000546652,0.000986027,0.001236512, 
0.012788584,0.000610813,0.000969602,0.001765199, 
0.012085378,0.000566671,0.000957283,0.002458652, 
0.012264516,0.000481465,0.000981921,0.001251911, 
0.011877497,0.000580529,0.000952664,0.001234972, 
0.012553497,0.000499943,0.001139501,0.001666648, 
0.0122948,0.000500456,0.000985514,0.001247804, 
0.012770105,0.001603513,0.000976275,0.001242672, 
0.01202327,0.000520988,0.000983461,0.002768678, 
0.013364493,0.000517908,0.001116403,0.001306833, 
0.01374792,0.000610813,0.000964469,0.00126269, 
0.013851604,0.000489164,0.001869397,0.001253451, 
0.012066387,0.001931505,0.000967036,0.00145466, 
0.012594047,0.000501996,0.001151819,0.002998118, 
0.012334323,0.0005369,0.000963956,0.001823714, 
0.01252886,0.000746322,0.001192369,0.001308372, 
0.012663341,0.000871051,0.000998346,0.001327877, 
0.012477018,0.000510722,0.00099578,0.002342649, 
0.013180736,0.000522528,0.000970629,0.001619939, 
0.012234745,0.000525094,0.000983461,0.001249858, 
0.012007872,0.000533307,0.001909433,0.001740048, 
0.012627924,0.000533307,0.001055321,0.001681533, 
0.012400538,0.000856679,0.001126668,0.001274495, 
0.012023784,0.000998859,0.001159519,0.001229839, 
0.02080615,0.000491217,0.001732349,0.002667047, 
0.012057661,0.000591308,0.00106764,0.002545911, 
0.012164938,0.000547679,0.000982948,0.001230353, 
0.01218239,0.000532793,0.000983974,0.001837573, 
0.0125961,0.000542546,0.000973708,0.001233946, 
0.013913199,0.000924433,0.0009193,0.001204175, 
0.011868771,0.000506616,0.001005019,0.001291434, 
0.012107963,0.000495837,0.000977301,0.001315045, 
0.011989393,0.000519448,0.000999886,0.001320691, 
0.012540152,0.000607734,0.001925345,0.001355082, 
0.021946678,0.000782252,0.000963443,0.002104996, 
0.028439777,0.000520475,0.000956257,0.001260637, 
0.029732751,0.000546139,0.001171838,0.002630604, 
0.012257843,0.0010661,0.000940345,0.001202635, 
0.012215754,0.000670868,0.000993727,0.001663568, 
0.012157752,0.001665108,0.001034276,0.001202122, 
0.012561197,0.000561538,0.000999886,0.001224193, 
0.011839513,0.000627752,0.001034276,0.001235999, 
0.012019164,0.000496863,0.000987054,0.001394092, 
0.011976048,0.000501483,0.000975761,0.001433615, 
0.011996066,0.000499943,0.00094907,0.012038669, 
0.012033023,0.000797137,0.001012718,0.001316072, 
0.011851832,0.000561024,0.000970115,0.00122214, 
0.013619084,0.000523041,0.000968575,0.001653302, 
0.012325597,0.000511749,0.000981408,0.001371507, 
0.011908807,0.000517908,0.001725163,0.001245238, 
0.013508214,0.000522014,0.000984487,0.001312479, 
0.012765486,0.000551785,0.000970629,0.001259097, 
0.012814248,0.000568724,0.000994753,0.001275522, 
0.011612126,0.000525607,0.00163739,0.001252937, 
0.01221832,0.000506616,0.000972168,0.001307346, 
0.0311638,0.000673948,0.001036843,0.001895061, 
0.012007872,0.000539466,0.000972168,0.00125653, 
0.012211647,0.000510722,0.001018878,0.001779571, 
0.012344076,0.000630318,0.000982434,0.001198015, 
0.011920099,0.000503536,0.00210243,0.001237539, 
0.012316871,0.000511235,0.001302726,0.001286301, 
0.012291207,0.00053074,0.000960876,0.001545512, 
0.012967208,0.000492757,0.000991673,0.001304266, 
0.012114123,0.000678567,0.00122368,0.001465439, 
0.012389758,0.000466579,0.000969602,0.001554751, 
0.012443654,0.000533307,0.001075339,0.001552185, 
0.01233689,0.000665735,0.001537299,0.00164509, 
0.012776265,0.000719117,0.00164355,0.001459279, 
0.012642296,0.000507642,0.001075853,0.003185982, 
0.0123682,0.000516882,0.001035303,0.001466979, 
0.012309172,0.000465553,0.00098808,0.001361241, 
0.012430822,0.000751968,0.000981408,0.001276549, 
0.012560684,0.000566671,0.000987054,0.001666135, 
0.013318811,0.000503023,0.000967036,0.001224193, 
0.012042775,0.00050097,0.000986027,0.001821148, 
0.012495496,0.000660602,0.001222653,0.00317469, 
0.012836319,0.00053228,0.001005532,0.001294, 
0.012132088,0.000489164,0.001445934,0.0014485, 
0.013146859,0.000487624,0.001061481,0.001434128, 
0.01183438,0.000516368,0.001145147,0.001882229, 
0.012387192,0.000452207,0.000985514,0.001224706, 
0.018243301,0.000558458,0.001027604,0.001839626, 
0.012152619,0.000481978,0.001159005,0.00129554, 
0.012171098,0.000464526,0.000977815,0.001795483, 
0.012333297,0.000736056,0.001044029,0.001623018, 
0.012285048,0.000549732,0.001077393,0.001513175, 
0.011883656,0.000904928,0.000978841,0.001398198, 
0.012212674,0.000480951,0.001211874,0.00134071, 
0.012188036,0.000487624,0.001061481,0.001604027, 
0.011882116,0.000522014,0.001007585,0.001281168, 
0.011783565,0.00049327,0.001608133,0.001277062, 
0.01244314,0.000506616,0.005808886,0.001311452, 
0.012196249,0.000546139,0.000988594,0.001250884, 
0.011979128,0.000506102,0.000988594,0.001625071, 
0.011653703,0.000541519,0.001358675,0.001431562, 
0.012021217,0.000523041,0.000990134,0.001447474, 
0.012232692,0.000552812,0.001051215,0.00164663, 
0.021838887,0.000542033,0.001076879,0.001235485, 
0.012108476,0.001499316,0.001280655,0.001554751, 
0.012235259,0.000582582,0.00098962,0.001635851, 
0.012125928,0.000509182,0.001020418,0.001315045, 
0.011737882,0.000859245,0.001915079,0.001282708, 
0.012075113,0.000987567,0.001200582,0.001248318, 
0.012379493,0.00060722,0.000983461,0.001231892, 
0.012479584,0.00076172,0.000973195,0.001642523, 
0.012011465,0.000513289,0.000964982,0.001396658, 
0.012195222,0.000521501,0.001955629,0.001338656, 
0.012741874,0.000631858,0.000957796,0.001514714, 
0.012292234,0.000508156,0.001023497,0.001382799, 
0.012168531,0.000552812,0.001012205,0.001401278, 
0.012122335,0.000519448,0.001041462,0.002179936, 
0.012272729,0.000498403,0.001012205,0.00129554, 
0.013003138,0.00079919,0.001013745,0.001899681, 
0.012002226,0.00064931,0.001065587,0.001647143, 
0.01164395,0.000519961,0.00098962,0.001311965, 
0.012072033,0.000511235,0.000976275,0.001550131, 
0.012194196,0.000511749,0.000987054,0.001279115, 
0.013956828,0.000531767,0.000980894,0.001528573, 
0.011677827,0.000526634,0.000983461,0.001317098, 
0.012917932,0.000481465,0.000979355,0.001279115, 
0.01179383,0.000504049,0.000956257,0.001505475, 
0.011802043,0.00072425,0.001327364,0.001369967, 
0.013355767,0.000508156,0.001074826,0.002340082, 
0.012187009,0.000634938,0.001008612,0.001413083, 
0.012042775,0.000511749,0.001003992,0.002244611, 
0.011985287,0.000503536,0.001716437,0.001329417, 
0.012412856,0.00053998,0.001058401,0.001242672, 
0.012513974,0.000664709,0.000974735,0.001370994, 
0.013439433,0.000504563,0.000969089,0.001237025, 
0.01187493,0.000523041,0.00095523,0.001583495, 
0.012656668,0.000544086,0.000980894,0.001267823, 
0.012268622,0.000750428,0.00103171,0.001270902, 
0.012039696,0.000580016,0.001044542,0.001592221, 
0.012262976,0.000551785,0.003097696,0.008547281, 
0.012349209,0.000511235,0.000966522,0.003686951, 
0.012139274,0.000510209,0.001026577,0.001438748, 
0.012500115,0.000533307,0.001032223,0.001280142, 
0.015079904,0.00049173,0.000963956,0.001582469, 
0.012292234,0.000741702,0.0011472,0.001824741, 
0.012361528,0.000464013,0.000977815,0.001401278, 
0.012513461,0.000484031,0.000985001,0.001207768, 
0.011844646,0.000809456,0.000984487,0.001246265, 
0.012319438,0.000465039,0.000964982,0.002275408, 
0.012448273,0.000507642,0.000964469,0.001207768, 
0.012118229,0.000638018,0.001032223,0.001308372, 
0.01184208,0.00049635,0.001093818,0.001558344, 
0.012015571,0.000450154,0.001005019,0.001586062, 
0.012188036,0.000518935,0.001000399,0.00176058, 
0.012530913,0.000488137,0.001048648,0.001356108, 
0.011831301,0.000450154,0.002373446,0.001351489, 
0.013276208,0.000441428,0.000983974,0.001712844, 
0.012400024,0.000509696,0.000993727,0.001331984, 
0.012013518,0.000490191,0.001187236,0.001283221, 
0.012233205,0.000557431,0.00122676,0.001809855, 
0.012513461,0.000498916,0.000981921,0.001249344, 
0.012562737,0.000550245,0.000956257,0.001211874, 
0.025561255,0.000510722,0.00106764,0.001401791, 
0.012037129,0.000611327,0.001152846,0.001260123, 
0.01233381,0.000523041,0.001006046,0.002520247, 
0.012215754,0.000488137,0.00106918,0.001210848, 
0.012259383,0.000505589,0.000975248,0.001695392, 
0.01199504,0.00094907,0.001034276,0.001213414, 
0.01167988,0.000568724,0.001007072,0.00133609, 
0.012940517,0.000493784,0.000977815,0.001522927, 
0.012530913,0.000927512,0.00095215,0.001641497, 
0.011883143,0.00064623,0.001041976,0.001312992, 
0.012218833,0.000494297,0.001093818,0.001281168, 
0.012195222,0.000500456,0.001093818,0.001556291, 
0.012626898,0.000780199,0.001153873,0.00126423, 
0.011922666,0.00061184,0.001600434,0.001284248, 
0.014788869,0.000532793,0.002349835,0.001210848, 
0.012556577,0.000534333,0.001168245,0.001596327, 
0.014395177,0.00049635,0.000975761,0.001470572, 
0.011728643,0.000493784,0.000988594,0.002331356, 
0.012178797,0.000495323,0.001010665,0.001395118, 
0.015125586,0.000489164,0.001044029,0.00168256, 
0.012082812,0.000478385,0.001149253,0.0042721, 
0.012041749,0.000627752,0.000990647,0.001536273, 
0.012133627,0.000478385,0.000985001,0.001208794, 
0.012115662,0.000484031,0.000978841,0.00137356, 
0.013236685,0.000492244,0.000971142,0.001480837, 
0.01198734,0.000588742,0.001317098,0.001289381, 
0.012438008,0.000511235,0.001096898,0.001358161, 
0.012385139,0.000504049,0.000990134,0.001221627, 
0.012061254,0.000515855,0.001005019,0.001551671, 
0.012225506,0.00049327,0.001690259,0.001348409, 
0.011989393,0.000487624,0.000968575,0.001313505, 
0.013357821,0.000465553,0.000930592,0.001619939, 
0.01378693,0.000488651,0.000971655,0.001534733, 
0.011692199,0.000590795,0.000972168,0.00221946, 
0.011886736,0.000498916,0.000983974,0.001268849, 
0.013194595,0.000537413,0.000962929,0.001479298, 
0.012575056,0.000653416,0.00095985,0.001234459, 
0.014173436,0.000590795,0.000980894,0.001314019, 
0.011584409,0.000567697,0.00107072,0.001495209, 
0.01226195,0.000544599,0.000991673,0.001804209, 
0.012494983,0.000550759,0.000977815,0.00133301, 
0.01198734,0.000558971,0.000967549,0.001635851, 
0.012070493,0.000614406,0.001854511,0.008003708, 
0.012904074,0.000516368,0.00099116,0.001214954, 
0.012156212,0.000525094,0.001167218,0.001218034, 
0.012237312,0.000529714,0.000967036,0.001423349, 
0.01187185,0.000532793,0.001016311,0.001698985, 
0.011984774,0.000611327,0.001008612,0.001282708, 
0.012727502,0.000664709,0.001151306,0.001634824, 
0.01187339,0.001010152,0.001673834,0.003307631, 
0.011789724,0.001057374,0.001029143,0.002518194, 
0.01237282,0.000634938,0.001047109,0.001539866, 
0.01217623,0.000556405,0.001054295,0.001328904, 
0.011992473,0.000551785,0.001237539,0.001394092, 
0.013096043,0.000640071,0.001577849,0.001282708, 
0.012039182,0.000580529,0.000983461,0.001314532, 
0.012105397,0.000548705,0.000983461,0.001284761, 
0.012277862,0.000829988,0.000969089,0.001207768, 
0.012431335,0.000550759,0.001019391,0.001670754, 
0.012025837,0.000625699,0.000964469,0.001507015, 
0.012238338,0.000612353,0.000987567,0.001617885, 
0.01371353,0.001022984,0.000983461,0.00172157, 
0.012425689,0.000605167,0.001049162,0.001576822, 
0.012312252,0.000700639,0.010183131,0.001810882, 
0.012151593,0.000589769,0.001167218,0.001383826, 
0.011754821,0.000601574,0.001003992,0.00233187, 
0.012022757,0.000587715,0.001022471,0.003180849, 
0.01221986,0.000615433,0.000985001,0.001304266, 
0.012135681,0.000633398,0.000983974,0.001898654, 
0.0123759,0.000578476,0.000961903,0.001276035, 
0.011950383,0.000606194,0.001894548,0.001253964, 
0.012085378,0.000551272,0.000962929,0.00125653, 
0.012279401,0.000580529,0.000984487,0.001545512, 
0.01232919,0.000571803,0.00099424,0.001227273, 
0.013053441,0.001319152,0.000963443,0.001223167, 
0.012604826,0.000580529,0.000982948,0.001266283, 
0.012247064,0.000767366,0.001002966,0.00126577, 
0.012629977,0.000615946,0.001115376,0.001631231, 
0.012611499,0.000543573,0.00167486,0.001308372, 
0.018852061,0.001643037,0.00103325,0.001549618, 
0.012767026,0.000519448,0.001035303,0.001396145, 
0.011773299,0.000834607,0.000974222,0.001273982, 
0.012088458,0.000503536,0.000977815,0.001280142, 
0.012281455,0.0005292,0.001130775,0.003248603, 
0.013264402,0.000567697,0.002062907,0.001295027, 
0.012487283,0.000866944,0.00118313,0.001295027, 
0.014379778,0.000504563,0.000963443,0.002153245, 
0.016226077,0.000505589,0.001017851,0.001644576, 
0.012217807,0.000515855,0.000982434,0.001246265, 
0.014557889,0.001510095,0.001387419,0.002040835, 
0.012413883,0.000548192,0.000967549,0.001273469, 
0.012096671,0.000648797,0.000998346,0.001408977, 
0.013764345,0.00056975,0.000969602,0.001626611, 
0.011778945,0.00053074,0.000983974,0.001725676, 
0.013382972,0.007318468,0.000980381,0.001688719, 
0.012346129,0.000777119,0.001006046,0.001243698, 
0.012286587,0.000565644,0.000985514,0.001564503, 
0.012328164,0.000557431,0.002104483,0.002994012, 
0.01221832,0.000767366,0.000984487,0.002016711, 
0.012758813,0.000709365,0.000985514,0.001332497, 
0.012773185,0.000613893,0.001240618,0.00191046, 
0.012173151,0.000602087,0.001782138,0.001231892, 
0.013261836,0.000551785,0.001159519,0.00160608, 
0.013016997,0.000522528,0.000956257,0.001185183, 
0.012481637,0.000734003,0.000987567,0.001244211, 
0.01222294,0.00057437,0.001021957,0.002137333, 
0.013955288,0.000565131,0.000979355,0.001252937, 
0.011971942,0.000551272,0.00118621,0.001201608, 
0.012007872,0.000564617,0.001002452,0.001614292, 
0.011914967,0.000564617,0.000951637,0.002232292, 
0.012085378,0.000567697,0.000968575,0.001688206, 
0.012348695,0.000569237,0.000982434,0.001207768, 
